Name,Barcode,Reference,Salesprice,Stock
"Body diamond core drill wet 1/2"" BSP 60mm l=300mm",5412605634101,063316B,0,0
"Body diamond core drill wet 1/2"" BSP 70mm l=300mm",5412605634118,063317B,0,0
"Body diamond core drill wet 1/2"" BSP 80mm l=300mm",5412605634125,063318B,0,0
"Body diamond core drill wet 1/2"" BSP 90mm l=300mm",5412605634132,063319B,0,0
"Body diamond core drill wet 1/2"" BSP 100mm l=300mm",5412605634149,063320B,0,0
"Body diamond core drill wet 1/2"" BSP 110mm l=300mm",5412605634156,063321B,0,0
"Body diamond core drill wet 1/2"" BSP 120mm l=300mm",5412605634163,063322B,0,0
"Body diamond core drill wet 1/2"" BSP 130mm l=300mm",5412605634170,063323B,0,0
"Body diamond core drill wet 1/2"" BSP 140mm l=300mm",5412605634187,063324B,0,0
"Body diamond core drill wet 1/2"" BSP 150mm l=300mm",5412605634194,063325B,0,0
"Body diamond core drill wet 1/2"" BSP 160mm l=300mm",5412605634200,063326B,0,0
"Body diamond core drill wet 1/2"" BSP 170mm l=300mm",5412605634217,063327B,0,0
"Body diamond core drill wet 1/2"" BSP 180mm l=300mm",5412605634224,063328B,0,0
"Body diamond core drill wet 1/2"" BSP 190mm l=300mm",5412605634231,063329B,0,0
"Body diamond core drill wet 1/2"" BSP 200mm l=300mm",5412605634248,063330B,0,0
"Diamond disc 125x22,23mm M14 with flange (marble)",5412605279586,063331B,55.809,0
Hand-scratch brush 2rows steel wire / Sadu,5412605740017,080157S,1.9,240
Hand-scratch brush 3rows steel wire / Sadu,5412605740024,080158S,2.05,102
Hand-scratch brush 4rows steel wire / Sadu,5412605740031,080159S,2.25,648
Hand-scratch brush 5rows steel wire / Sadu,5412605740048,080160S,3.15,-1032
Hand-scratch brush 6rows steel wire / Sadu,5412605740055,080161S,3.4,144
Hand-scratch brush Sadu Universal 1row brass coated wire,5412605740062,080175S,3.35,1524
Hand-scratch brush Sadu Universal 1row steelwire,5412605740079,080173S,2.1,3144
Hand-scratch brush Sadu Universal 1row stainless steel wire,5412605740086,080174S,4.05,997
"Cup brush Sadu 60mm M14 crimped wire 0,3",5412605740093,080250S,4.45,318
"Cup brush Sadu 80mm M14 crimped wire 0,3",5412605740109,080254S,5.65,871
"Cup brush Sadu 100mm M14 crimped wire 0,3",5412605740116,080256S,8.45,205
"Cup brush Sadu 125mm M14 crimped wire 0,3",5412605740123,080258S,12.5,3
"Cup brush Sadu 65mm M14 knotted wire 0,5",5412605740130,080267S,9,-1895
"Cup brush Sadu 80mm M14 knotted wire 0,5",5412605740147,080269S,12.9,263
"Cup brush Sadu 100mm M14 knotted wire 0,5",5412605740154,080271S,18.85,374
"Cup brush Sadu 120mm M14 knotted wire 0,5",5412605740161,080272S,21.75,254
"Diamond disc Premium 180x22,23mm hard ceramics",5412605980161,063332A,0,0
"Cut-off wheel Sadu 115x2,5x22,23 A30R metal depressed/per10",5412605030422,010510B,11.2,0
"Cut-off wheel Sadu 125x2,5x22,23 A30R metal depressed/per10",5412605030439,010511B,13,15
"Cut-off wheel Sadu 230x2,5x22,23 A30R metal flat/per10",5412605030446,010512B,34.7,17
"Diamond disc Premium 230x22,23x10mm J-SL-P",5412605276622,063333B,100.7,5
Grinding cup wheel Premium 105x15mm Makita (concrete),5412605634255,063334A,0,5
"Grinding cup brazed Premium 115x22,23mm double row (concrete",5412605634262,063335B,139.85,13
Quick grip disc silicon FFR 150mmx8mm G024,5412605466610,113600B,1.5,0
Quick grip disc silicon FFR 150mmx8mm G040,5412605466634,113602B,1.35,0
Quick grip disc silicon FFR 150mmx8mm G036,5412605466627,113601B,1.4,0
Quick grip disc silicon FFR 150mmx8mm G060,5412605466641,116003B,1.35,0
Quick grip disc silicon FFR 150mmx8mm G080,5412605466658,116004B,1.3,0
Quick grip disc silicon FFR 150mmx8mm G100,5412605466665,116005B,1.25,0
Quick grip disc silicon FFR 150mmx8mm G120,5412605466672,116006B,1.25,0
Quick grip disc silicon FFR 150mmx8mm G150,5412605466689,116007B,1.25,0
Quick grip disc silicon FFR 150mmx8mm G240,5412605466696,116008B,1.25,0
Quick grip disc silicon FFR 150mmx8mm G320,5412605466702,116009B,1.25,0
Quick grip disc silicon FFR 178mmx4mm G024,5412605466719,116010B,2.05,0
Quick grip disc silicon FFR 178mmx4mm G036,5412605466726,116011B,2,0
Quick grip disc silicon FFR 178mmx4mm G040,5412605466733,116012B,1.95,0
Quick grip disc silicon FFR 178mmx4mm G060,5412605466740,116013B,1.8,0
Quick grip disc silicon FFR 178mmx4mm G080,5412605466757,116014B,1.8,0
Quick grip disc silicon FFR 178mmx4mm G100,5412605466764,116015B,1.7,0
Quick grip disc silicon FFR 178mmx4mm G120,5412605466771,116016B,1.7,0
Quick grip disc silicon FFR 178mmx4mm G150,5412605466788,116017B,1.7,0
Quick grip disc silicon FFR 178mmx4mm G240,5412605466795,116018B,1.7,0
Quick grip disc silicon FFR 178mmx4mm G320,5412605466801,116019B,1.7,0
Shank-Brush Wheel/card 50mm steel wire fine / Sadu,5412605740178,080710S,3.25,997
Shank-Brush Wheel/card 50mm steel wire coarse / Sadu,5412605740185,080711S,3.1,-1034
Shank-Brush Cup/card 50mm steel wire coarse / Sadu,5412605740192,080720S,3.7,47
Shank-Brush Wheel/card 60mm steel wire fine / Sadu,5412605740208,080712S,3.563,0
Shank-Brush End/card 25x6mm coarse / Sadu,5412605740215,080881S,3.4,-2
"Bit holder with depthcontroller 1/4"" l=60mm 1618-M-1/4-TB",4005820332788,142292B,17.409,0
Mousepad Sadu,,MOUSEPAD,0,2700
"Cut-off wheel Sadu 115x2,5x22,23 C30R stone depressed/per10",5412605030453,010513B,14.25,94
"Cut-off wheel Sadu 125x2,5x22,23 C30R stone depressed/per10",5412605030460,010514B,14.85,40
"Cut-off wheel Sadu 230x2,5x22,23 C30R stone flat/per10",5412605030477,010515B,43.35,70
Shank-Brush Wheel/card 75mm steel wire coarse / Sadu,5412605740222,080715S,3.7,187
Shank-Brush Cup/card 75mm steel wire coarse / Sadu,5412605740239,080722S,4.45,0
Shank-Brush Cup/card 50mm steel wire fine / Sadu,5412605740246,080719S,3.95,688
Shank-Brush Wheel/card 60mm steel wire coarse / Sadu,5412605740253,080713S,3.4,194
Shank-Brush Cup/card 50mm brass coated wire fine / Sadu,5412605740260,080729S,3.7,88
Shank-Brush Wheel/card 75mm steel wire fine / Sadu,5412605740277,080714S,3.95,574
Shank-Brush Wheel/card 75mm brass coated wire fine / Sadu,5412605740284,080716S,3.95,267
Shank-Brush Wheel/card 100mm steel wire coarse / Sadu,5412605740291,080718S,4.45,429
Shank-Brush Wheel/card 100mm steel wire fine / Sadu,5412605740307,080717S,4.7,313
Shank-Brush Cup/card 75mm steel wire fine / Sadu,5412605740314,080721S,4.75,32
Cup brush ECO brass wire  60 M14 / Sadu,5412605740321,080238S,0,0
Nylon Shank-Brush/card 25mm fine / Sadu,5412605740338,080731S,6.65,294
Nylon Shank-Brush/card 25mm coarse / Sadu,5412605740345,080735S,6.65,176
Shank-Tube brush/card 16x55x100mm / Sadu,5412605740352,080915S,2.65,14
Shank-Tube brush/card 25x55x100mm / Sadu,5412605740369,080916S,3.1,229
Nylon Brush Wheel/card 75mm coarse / Sadu,5412605740376,080736S,9,403
Nylon Brush Cup/card 50mm coarse / Sadu,5412605740383,080738S,7.1,129
Nylon Brush Wheel/card 75mm fine / Sadu,5412605740390,080724S,6.5,217
Nylon Brush Cup/card 50mm fine / Sadu,5412605740406,080726S,7.1,161
Shank-Tube brush/card 32x55x100mm / Sadu,5412605740413,080917S,3.45,-5
Wheel brush Eco 125x25mm h=20 / Sadu,5412605740420,080920S,0,0
Nylon Brush Wheel/card 100mm coarse / Sadu,5412605740444,080737S,10.65,289
Nylon Brush Cup/card 75mm coarse / Sadu,5412605740451,080739S,10.65,86
Nylon Brush Wheel/card 100mm fine / Sadu,5412605740468,080725S,10.65,231
Nylon Brush Cup/card 75mm fine / Sadu,5412605740475,080727S,10.65,190
Shank-Brush Wheel/card 70mm steel wire coarse / Sadu,5412605740505,080730S,3.7,174
Wheel brush eco 150x18x29 h=32 / Sadu,5412605740512,080233B,0,0
Wheel brush 150x25x29mm h=32 / Sadu,5412605740529,080234S,12.05,0
"Bevel brush 100mm M14x2,00 crimped / Sadu",5412605740536,080882S,7.1,115
Cup brush ECO brass wire 100 M14 / Sadu,5412605740543,080244S,0,0
"Bevel brush 100mm M14x2,00 knotted / Sadu",5412605740550,080704S,7.4,1441
Cup brush Sadu brass wire  80 M14,5412605740567,080242S,0,0
Hand-scratch brush 4rows brass wire / Sadu,5412605740574,080169S,4,60
Hand-scratch brush 3rows brass wire / Sadu,5412605740581,080168S,0,0
Hand-scratch brush 2rows brass wire / Sadu,5412605740598,080167S,0,0
Wheel brush 178x25x37 h=32 / Sadu,5412605740604,080235S,13.5,26
Wheel brush 125x22x30mm h=20+red / Sadu,5412605740611,080023S,10.6,114
Wheel brush 200x20x42 h=32 / Sadu,5412605740628,080236S,0,0
Wheel brush 200x25x42 h=32 / Sadu,5412605740635,080237S,16,24
Shank-Brush for wood graining/card 80mm / Sadu,5412605740642,080708S,0,0
"Bevel brush 115mm M14x2,00 knotted / Sadu",5412605740659,080707S,8.45,370
Wire scratch brush 205x60x190x40mm 5rows / Sadu,5412605740666,080156S,5.75,1152
Hand-scratch brush 2rows stainl.steel V2A / Sadu,5412605740673,080162S,3.7,598
Hand-scratch brush 3rows stainl.steel V2A / Sadu,5412605740680,080163S,4.75,680
Hand-scratch brush 4rows stainl.steel V2A / Sadu,5412605740697,080164S,5.6,526
Non woven flap wheel 100x100x19mm Aluminium,5412605161706,050255B,38.604,0
Non woven flap wheel 100x100x19mm Silicium,5412605161713,050256B,38.604,0
Non woven flap wheel 100x100x19mm Zircon,5412605161720,050257B,38.604,0
Non woven flap wheel 100x50x19mm Aluminium fine,5412605161737,050258B,21.553,10
Non woven flap wheel 100x50x19mm Silicium,5412605161744,050259B,21.553,0
Non woven flap wheel 100x50x19mm Zircon,5412605161751,050260B,21.553,0
Non woven flap wheel 115x100x19mm Aluminium,5412605161768,050261B,40.537,0
Non woven flap wheel 115x100x19mm Silicium,5412605161775,050262B,40.537,0
Non woven flap wheel 115x100x19mm Zircon,5412605161782,050263B,40.537,0
Interleaved combi flap wheel 100x100x19mm Aluminium,5412605161799,050264B,41.821,1
Interleaved combi flap wheel 100x100x19mm Silicium,5412605161805,050265B,41.821,0
Interleaved combi flap wheel 100x100x19mm Zircon,5412605161812,050266B,41.821,0
Interleaved combi flap wheel 100x50x19mm Aluminium,5412605161829,050267B,24.128,0
Interleaved combi flap wheel 100x50x19mm Silicium,5412605161836,050268B,24.128,0
Interleaved combi flap wheel 100x50x19mm Zircon,5412605161843,050269B,24.128,0
Interleaved combi flap wheel 115x100x19mm Aluminium,5412605161850,050270B,44.077,0
Interleaved combi flap wheel 115x100x19mm Silicium,5412605161867,050271B,44.077,0
Interleaved combi flap wheel 115x100x19mm Zircon,5412605161874,050272B,44.077,0
Flap wheel AO 100x100x19mm G040,5412605161881,050273B,50,0
Flap wheel AO 100x100x19mm G060,5412605161898,050274B,52.632,0
Flap wheel AO 100x100x19mm G080,5412605161904,050275B,54.306,0
Flap wheel AO 100x100x19mm G100,5412605161911,050276B,54.757,0
Flap wheel AO 100x100x19mm G120,5412605161928,050277B,55.141,0
Flap wheel AO 100x100x19mm G150,5412605161935,050278B,59.904,0
Flap wheel AO 100x100x19mm G180,5412605161942,050279B,64.152,0
Flap wheel AO 100x100x19mm G220,5412605161959,050280B,65.952,0
Flap wheel AO 100x100x19mm G240,5412605161966,050281B,66.276,0
Flap wheel AO 100x100x19mm G280,5412605161973,050282B,67.242,0
Flap wheel AO 100x100x19mm G320,5412605161980,050283B,69.362,0
Cotton polishing wheel 100x100x19mm,5412605161997,050284B,89.759,0
Surface coating remover 100x100x19mm,5412605163793,050285B,118.136,0
Felt polishing wheel 100x100x19mm,5412605163809,050286B,105.009,0
Carb.circ.saw blade  190 16 T=20  white carton packages,5412605447916,090520B,0,6
Carbide circ. saw-blade 190 20/16 T=36 ATB,5412605447480,091520B,57.124,0
"Diamond disc Basic 150x22,23x8mm LSD",5412605280841,063336B,37.15,76
"Diamond disc Basic 150x22,23x12mm BSLD-ECO",5412605280858,063337B,47.45,93
"Diamond disc Premium 230x22,23mm CER-P",5412605275984,063338B,86.45,11
Endless belt cloth AO 50x1500mm G060,5412605471171,113603B,2.65,0
VERKOOP VOLKSWAGEN CADDY,,VERK007,0,
"Diamond disc Premium 250x25,40x10mm SC660",5412605273768,060062A25,89.181,0
Endless belt cloth AO 12x300mm G060,5412605464364,113604B,0,0
Roosteropkant 1000/170,,S0056,0,87
Roosterverdeling 470/170,,S0057,0,273
"Cut-off wheel Sadu 115x1,6x22,23 A46T stainl.steel fllat",5412605030484,010341B,1.25,1025
"Grinding wheel Sadu 180x8,0x22,23 A24R metal depressed",5412605030323,010398B,0,0
"Bit holder with depthcontroller 1/4"" l=75mm 1618-1/4-RM",4005820824108,142293B,12.038,0
VERKOOP PERSONENWAGEN PEUGEOT 307 BREAK,,VERK008,0,0
"Adaptor 1 1/4"" (ext) - 1/2"" BSP (int)-Hilti",5412608274311,063339B,48.644,0
Endless belt cloth AO 100x522mm G040,,113605B,0,0
"Cut-off wheel Sadu 150x1,0x22,23 AZ46 stainl.steel flat",5412605030491,010399B,2.15,4300
"Cut-off wheel Sadu 150x1,6x22,23 AZ46 stainl.steel flat",5412605030507,010516B,2.25,425
Promopack ass. electroplated + 125 K12 + 115 CER-P,5412608275141,063340B,156.84,0
"Cut-off wheel Wurth 115x2.5x22,23 A30R metal depressed",5412605031009,010111W,1.15,3375
"Cut-off wheel Wurth 125x2,5x22,23 A30R metal depressed",5412605031016,010112W,1.55,0
"Cut-off wheel Wurth 180x3,0x22,23 A30R metal flat",5412605031023,010113W,2.25,0
"Cut-off wheel Wurth 230x3,0x22,23 A30R metal flat",5412605031030,010114W,2.65,5710
"Cut-off wheel Wurth 115x1,6x22,23 A46T stainl.steel fllat",5412605031047,010341W,0,0
"Cut-off wheel Wurth 115x1,0x22,23 AZ46 stainl.steel flat",5412605031054,010352W,1.65,70172
"Cut-off wheel Wurth 125x1,0x22,23 AZ46 stainl.steel flat",5412605031061,010353W,1.8,30934
"Cut-off wheel Wurth 125x1,6x22,23 A46T stainl.steel flat",5412605031078,010355W,0,3575
Cut-off wh.Wurth 230x1.9x22.23 AZ46P stainl.steel depressed,5412605031085,010405W,5.3,4642
"Cut-off wheel Wurth 150x1,6x22,23 AZ46 stainl.steel flat",5412605031092,010516W,0,0
"Cut-off wheel Wurth 115x3.0x22,23 C30R stone depressed",5412605031108,010120W,1.55,3415
"Cut-off wheel Wurth 125x3.0x22,23 C30R stone depressed",5412605031115,010121W,1.65,0
"Cut-off wheel Wurth 180x3,0x22,23 C30S stone flat",5412605031122,010122W,2.5,0
"Cut-off wheel Wurth 230x3,0x22,23 C30S stone flat",5412605031139,010123W,2.95,5000
"Grinding wheel  Wurth 115x6,4x22,23 A24R metal depressed",5412605031146,010116W,2.2,0
"Grinding wheel Wurth 125x6,4x22,23 A30R metal depressed",5412605031153,010117W,2.35,600
"Grinding wheel Wurth 180x6,4x22,23 A24R metal depressed",5412605031160,010118W,3.6,8453
"Grinding wheel Wurth 230x6,4x22,23 A24R metal depressed",5412605031177,010119W,5.55,1800
"Grinding wheel Wurth 115x6,4x22,23 C24R stone depressed",5412605031184,010125W,2.35,0
"Grinding wheel Wurth 125x6,4x22,23 C24R stone depressed",5412605031191,010126W,2.5,0
"Grinding wheel Wurth 180x6,4x22,23 C24R stone depressed",5412605031207,010127W,4.45,0
"Grinding wheel Wurth 230x6,4x22,23 C24R stone depressed",5412605031214,010128W,6.25,0
"Grinding wheel Wurth 180x8,0x22,23 A24R metal depressed",5412605031221,010398W,0,3997
"Cut-off wheel Meister 115x1,0x22,23 AZ46 stainl.steel flat",5412605031252,010352M,1.45,5000
"Cut-off wheel Meister 125x1,0x22,23 AZ46 stainl.steel flat",5412605031269,010353M,1.75,0
Cut-off wh.Meister 230x1.9x22.23 AZ46P stainl.steel depresse,5412605031276,010405M,4.8,5870
"Grinding wheel  Meister 115x6,4x22,23 A24R metal depressed",5412605031283,010116M,2,0
"Grinding wheel Meister 125x6,4x22,23 A30R metal depressed",5412605031290,010117M,2.15,10
Endless belt cloth AO 250x980mm G036,5412605479856,113606B,11.75,0
"Diamond core drill brazed wet 1/2"" BSP 40mm l=300mm",5412605634415,063341B,194.676,0
"Diamond core drill brazed wet 1/2"" BSP 66mm l=300mm",5412605634422,063342B,194.676,0
"Diamond disc Premium 400x25,40mm BE-AS/W",5412605981335,063343B,0,0
"Diamond disc Premium 350x25,40mm BE-AS/W",5412605981342,063344B,0,0
"Diamond disc Premium 400X20,00mm BE-AS/W",5412605981359,063345B,0,0
Quick grip disc FBR 125mm G040 8 holes Bosch (per 50),5412605467006,110413A50,28.8,0
Quick grip disc FBR 125mm G060 8 holes Bosch (per 50),5412605467013,110414A50,26.95,0
Quick grip disc FBR 125mm G080 8 holes Bosch (per 50),5412605467020,110415A50,26.95,0
Quick grip disc FBR 125mm G100 8 holes Bosch (per 50),5412605467037,110416A50,26.95,2
Quick grip disc FBR 125mm G120 8 holes Bosch (per 50),5412605467044,110417A50,26.95,0
Quick grip disc FBR 125mm G150 8 holes Bosch (per 50),5412605467051,110418A50,26.95,0
Quick grip disc FBR 125mm G180 8 holes Bosch (per 50),5412605467068,110419A50,26.95,0
Quick grip disc FBR 125mm G320 8 holes Bosch (per 50),5412605467082,110421A50,26.95,0
Quick grip disc FBR 125mm G240 8 holes Bosch (per 50),5412605467075,110420A50,26.95,0
Quick grip disc FBR 125mm G400 8 holes Bosch (per 50),5412605467099,110422A50,26.95,0
Carbide circ. saw-blade 400 40 T=84 ATB metal cutting,5412605450046,091522B,276.9,0
Grinding sleeve ZC cylindrical 30x30mm G040,5412605406234,040712B,0.65,10
Endless belt cloth AO 100x700mm G080,5612605478228,113607B,2.8,0
Diamond sintered tile drill  27mm,5412605279746,063346B,52.4,48
Diamond sintered tile drill  60mm,5412605279753,063347B,95.453,50
Endless belt cloth ZC 50x2500mm G040,5412605479863,116020B,7.65,0
"Diamond core drill brazed wet 1/2"" BSP 41mm l=400mm",5412605981373,063349B,0,0
Quick grip disc FBR 75mm G024 no holes,5412606547882,116021B,0.55,0
Quick grip disc FBR 75mm G040 no holes,5412606547899,116022B,0.55,0
Quick grip disc FBR 75mm G060 no holes,5412606547905,116023B,0.55,0
Quick grip disc FBR 75mm G080 no holes,5412606547912,116024B,0.55,0
Quick grip disc FBR 75mm G036 no holes,5412606547929,116025B,0.55,0
Flap disc Sadu/curved 115xM14 plastic G040 ceramic,5412605392612,020324B,6.35,0
Flap disc Sadu/curved 115xM14 plastic G060 ceramic,5412605392629,020325B,6.35,105
Flap disc Sadu/curved 115xM14 plastic G080 ceramic,5412605392636,020326B,6.35,5
Flap disc Sadu/curved 125xM14 plastic G040 ceramic,5412605392643,020327B,8.25,0
Flap disc Sadu/curved 125xM14 plastic G060 ceramic,5412605392650,020328B,8.25,0
Flap disc Sadu/curved 125xM14 plastic G080 ceramic,5412605392667,020329B,8.25,0
"Adaptor5/8 (int) - 1/2"" (ext)",5412605260867,063350B,49.631,0
"Diamond disc Professional 300x25,40x12mm  LNBE12",5412605276639,063135B254,186.051,0
"Cut-off wheel 115x0,8x22,23 AS60W stainl.steel flat-box/25",4081600701630,010517B,75.4,0
"Cut-off wheel 125x0,8x22,23 AS60W stainl.steel flat-box/25",4081600701647,010518B,80.55,0
"Cut-off wheel 115x0,8x22,23 AS60W stainl.steel flat-box/10",4081600701616,010519B,32.45,0
"Cut-off wheel 125x0,8x22,23 AS60W stainl.steel flat-box/10",4081600701623,010520B,34.55,5
Quick grip disc silicon FFR 380mm G024 no holes,5412606547936,113608B,0,25
Quick grip disc silicon FFR 380mm G036 no holes,5412606547943,113609B,0,0
Quick grip disc silicon FFR 380mm G040 no holes,5412606547950,113610B,0,0
Quick grip disc silicon FFR 380mm G050 no holes,5412606547967,113611B,0,0
Quick grip disc silicon FFR 380mm G060 no holes,5412606547974,113612B,0,0
Quick grip disc silicon FFR 380mm G080 no holes,5412606547981,113613B,0,0
Quick grip disc silicon FFR 380mm G100 no holes,5412606547998,113614B,0,0
Quick grip disc silicon FFR 380mm G120 no holes,5412606548001,113615B,0,0
"Cut-off wheel 115x0,8x22,23 AS60W stainl.steel flat",4081600110302,010521B,2.85,250
"Cut-off wheel 125x0,8x22,23 AS60W stainl.steel flat",4081600120301,010522B,3.05,625
"Diamond disc Standard 350x20,00x10mm CLS-S",5412605273805,063351B,154.715,5
"Diamond disc Standard 350x25,40x10mm CLS-S",5412605273812,063352B,154.7,30
"Diamond disc Standard 400x20,00x10mm CLS-S",5412605273829,063353B,206.964,5
"Diamond disc Standard 400x25,40x10mm CLS-S",5412605273836,063354B,206.964,0
"Diamond disc Basic 350x20,00x10mm CLS-B",5412605273843,063355B,130.4,12
"Diamond disc Basic 350x25,40x10mm CLS-B",5412605273850,063356B,130.394,19
"Diamond disc Basic 400x20,00x10mm CLS-B",5412605273867,063357B,161.922,0
"Diamond disc Basic 400x25,40x10mm CLS-B",5412605273874,063358B,161.9,7
"Cut-off wheel Wurth 115x1,6x22,23 A46T stainl.steel fllat",,010341WI,0,0
"Cut-off wheel Wurth 125x1,0x22,23 AZ46 stainl.steel flat",,010353WT,1.75,0
"Cut-off wheel Wurth 150x1,6x22,23 AZ46 stainl.steel flat",,010516WT,0,0
Cut-off wh.Wurth 230x1.9x22.23 AZ46P stainl.steel depressed,,010405WT,4.8,0
I-PAD BLACK,5412605273881,063359B,0,0
"Carbide circ. saw-blade 255x2,5x5/8"" mm T= 32 W",5412605450053,091524B,0,0
NOTEBOOK,,NOTEBOOK,0,
"Cut-off wheel Sadu 115x1,0x22,23 AZ46P stainl.steel flat - 5",5412605030514,010507B,0,0
I-PAD WHITE,5412605273898,063360B,0,0
Endless belt cloth ZC 150x2000mm G120,5412605466306,113359B,18.85,152
"Grinding wheel Sadu 150x6,4x22,23 A30R metal depressed",5412605031368,010523B,3.45,130
"Grinding wheel  Wurth 115x6,4x22,23 AZ46 stainl.st.depressed",5412605031504,010530WT,0,5950
"Grinding wheel  Wurth 125x6,4x22,23 AZ46 stainl.st.depressed",5412605031511,010531WT,0,0
"Grinding wheel  Wurth 150x6,4x22,23 AZ46 stainl.st.depressed",5412605031528,010532WT,0,0
"Grinding wheel  Wurth 180x6,4x22,23 AZ46 stainl.st.depressed",5412605031535,010533WT,0,5000
"Grinding wheel  Wurth 230x6,4x22,23 AZ46 stainl.st.depressed",5412605031542,010534WT,0,4950
"Cut-off wheel Wurth 180x1,6x22,23 AZ46 stainl.steel flat",5412605031412,010535WT,0,11589
"Grinding wheel  Wurth 115x4,0x22,23 AZ46 stainl.st.depressed",5412605031559,010536WT,0,0
"Diamond disc 125x1,6x22,23x10mm HGC",5412605271863,063361B,0,0
Sticker Klokzagen,,S0058,0,15
Tube brush 14x100x140mm M6 - 0002815214,4013349115485,081002B,11.315,10
Hole saw type M42 - cobalt - 86 mm,5412605652570,120207B,19.539,62
"Diamond disc Standard 230x22,23x12mm TB-12",5412605275779,063362B,0,0
Diamond disc universal 300x60x10mm - 3 holes,5412605275786,063363B,0,0
Quick grip disc silicon FFR 125mm G120 8+1 holes Festo,5412605465620,113616B,1,50
Quick grip disc silicon FFR 125mm G060 8+1 holes Festo,5412605465637,113617B,1.1,125
Quick grip disc silicon FFR 125mm G180 8+1 holes Festo,5412605465644,113618B,1,300
Quick grip disc silicon FFR 125mm G320 8+1 holes Festo,5412605465651,113619B,1,100
DIGITAL CAMERA LUMIX DMC-FS16,5412605275793,063364B,0,22
"Diamond disc Premium 180x22,23x12mm K12",5412605275861,063365B,78.843,0
Reductionring Carbide circ. saw-blade 35/25mm,5412605450701,090461B,0,0
"Cut-off wheel Sadu 350x3,0x25,40 A30R metal flat",5412605031566,010537B,8.55,-3071
"Diamond disc Standard 115x22,23x8mm LSD-S",5412605280865,063366B,0,4
"Diamond disc Standard 230x22,23x8mm LSD-S",5412605280872,063367B,0,4
"Diamond disc Basic 300x20,00x10mm LWA-B",5412605276257,063368B,106.972,38
"Diamond disc basic 350x20,00x10mm LWA-B",5412605276264,063369B,140.304,20
"Diamond disc basic 400x25,40x10mm LWA-B",5412605276271,063370B,176.336,8
"Diamond disc Standard 300x20,00x10mm LWA-S",5412605276288,063371B,135.792,8
"Diamond disc Standard 350x20,00x10mm LWA-S",5412605276295,063372B,175.432,10
"Diamond disc Standard 400x25,40x10mm LWA-S",5412605276356,063373B,215.069,6
"Diamond disc Premium 350x25,40x10mm LWC-P",5412605276332,063374B,0,0
"Diamond disc Premium 400x25,40x10mm LWC-P",5412605276349,063375B,0,0
Cutting disc Sadu 100x3x16 A24R metal depressed,5412605031573,010538B,1.3,2370
Plate compactor VC95,,160002B,622.528,0
Plate compactor HZR115,,160003B,733.524,0
"Grinding cup brazed Premium 180x22,23mm double (abrasive)",5412605276646,063376B,0,2
"Cut-off wheel Sadu 150x2,0x22,23 A30R metal flat",5412605031580,010539B,2.15,775
"Diamond disc Standard 115x22,23x12mm TB-12",5412605276653,063377B,0,14
"Diamond disc Standard 125x22,23x12mm TB-12",5412605276660,063378B,0,1
Belt floor 200x551 Alu Ox G040 - AP-311-F paper,5412605591541,113620B,0,0
Belt floor 200x551 Alu Ox G060 - AP-311-F paper,5412605591749,113621B,0,0
Belt floor 200x551 Alu Ox G100 - AP-311-F paper,5412605591756,113622B,0,0
"Cut-off wheel Sadu 230x2,5x22,23 A30R metal flat",5412605031597,010540B,3.45,2000
Endless belt cloth AO 75x2000mm G024 polyester,5412605591558,113623B,9.8,0
Endless belt cloth AO 75x2000mm G036 polyester,5412605591565,113624B,8.55,0
Endless belt cloth AO 75x2000mm G040 polyester,5412605591572,113625B,7.75,0
Endless belt cloth AO 75x2000mm G050 polyester,5412605591589,113626B,7.05,0
Endless belt cloth AO 75x2000mm G060 polyester,5412605591596,113627B,7.15,0
Endless belt cloth AO 75x2000mm G080 polyester,5412605591602,113628B,6.85,0
Endless belt cloth AO 75x2000mm G100 polyester,5412605591619,113629B,6.65,0
Endless belt cloth AO 75x2000mm G120 polyester,5412605591626,113630B,6.65,0
Endless belt cloth ZC 75x2000mm G024 polyester,5412605591633,113631B,12.05,0
Endless belt cloth ZC 75x2000mm G036 polyester,5412605591640,113632B,10.75,0
Endless belt cloth ZC 75x2000mm G040 polyester,5412605591657,113633B,9.8,732
Endless belt cloth ZC 75x2000mm G050 polyester,5412605591664,113634B,9,0
Endless belt cloth ZC 75x2000mm G060 polyester,5412605591671,113635B,8.15,426
Endless belt cloth ZC 75x2000mm G080 polyester,5412605591688,113636B,7.75,320
Endless belt cloth ZC 75x2000mm G100 polyester,5412605591695,113637B,7.3,40
Endless belt cloth ZC 75x2000mm G120 polyester,5412605591701,113638B,7.3,41
Quick grip disc EAD 225mm G150 8+1 holes Festo,5412605591718,113639B,0,0
File cards 250x40x110mm / Sadu,5412605740703,080155S,4.25,655
sheets YCS 230x280mm set 4xG180 4xG120 2xG080,5412605536900,113640B,0,0
Quick grip disc EAD 225mm G180 8+1 holes Festo,5412605591725,113641B,0,0
Endless belt cloth ZC 100x1220mm G240,5412605591732,113642B,4.9,0
Endless belt cloth AO 150x7800mm G080,5412605479887,113643B,39.35,0
Laser Meter 50 m / FM-850,5412608279767,063379B,124.226,111
"Diamond disc Wurth Premium 115x22,23mm CER-P",5455268351152,063261W,22.75,-1140
"Diamond disc Wurth Premium 125x22,23mm CER-P",5455268351251,063259W,22.75,-1800
